text,source
"للناس الدخلت جديد 
الادوية التي تم شرحها :- 
١. سامكسون
٢. بروتك او السيفيبيم 
٣. الفلاجيل
٤. البنادول 
٥. أوستيو كير 
٦. ميروبينم
٧. جنتامايسين 
٨. اللازكس 
٩. بانتوبرازول 
١٠. فنتولين
١١. ماكزيل 
١٢. أسبرين 
١٣. اجيال السيفالوسبورين 
١٤. عوائل المضادات الحيوية 
١٥. عائلة البنسلينات 
١٦. الأموكسيسيلين 
١٧. الأموكلان
١٨. الميتفورمين 
١٩. ليفوفلوكساسين 
٢٠. سيبروفلوكساسين 
٢١. الانتي هستامين (حبوب الحساسية)
٢٢. الأوندان استيرون
٢٣. الميتوكلوبرومايد 
٢٤. مضادات التخثر 
٢٥. مضادات الصفيحات
٢٦. مضادات التجلط
٢٧. الهيدروكورتيزون
٢٨. ملح التروية 
٢٩. ميبيندازول
٣٠. اتروبين
٣١. دوبيوتامين
٣٢. دوبامين
٣٣. ادرينالين
٣٤. ليدوكايين
٣٥. نيتروجلسرين
٣٦. دايجوكسين
٣٧. انديرال



الحالات المرضية التم شرحها :- 
١. مرض ابو عديلات
٢. الكوليرا 
٣. الاسهال
٤. الاستفراغ 
٥. الكحة
٦. الفرق بين اعراض الزائده الدودية والحصوات
٧. الفرق بين البواسير والشق الشرجي



مواضيع أخرى تم شرحها :-
١. كيف تكسر انبولة الدواء بي امان ؟
٢. كيف تقرا الروشتة ؟
٣. افضل درب لغيار الجروح ؟
٤. آلام الدورة الشهرية 
٥. لبن الغنم 
٦. هل مريض السكر بيعرف قبل ما يغمى عليه؟
٧. التصرف الصحيح مع لدغة العقرب او عضة الثعبان؟ 
٨. التسمين باستخدام حبوب النجمة 
٩. خرافات طبية



عشان الكلام ما يكتر وكدا بالنسبة للناس الدخلو جداد ادخلو القناة ✨

قناة التلغرام 
https://t.me/drugawareness

قروب الواتس
https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8",drugawareness
"🟢خرافات طبية⚠️

❌الكركدي ساخن برفع الضغط وبارد بنزل الضغط. 
✅الصح: الكركدي سواء كان ساخن أو بارد، الإتنين بخفضوا الضغط. 

واستخدام الكركدي لمرضى ضغط الدم لازم يكون مضبوط بكمية معينة، عشان ما تحصل أعراض جانبية خطيرة زي الانخفاض الشديد لضغط الدم.

❌الموية الباردة بتعمل كرش. 
✅الصح: الموية الباردة ما عندها علاقة بظهور الكرش. 

❌أخدت بندول عشان كدا الملاريا ما ظهرت في الفحص. 
✅الصح: البندول لا يؤثر على نتيجة فحص الملاريا. 

❌السكر الأحمر أو البُني أحسن من السكر الأبيض.
✅الصح: الفرق بينهما ضئيل للغاية، كلاهما يسبب نفس الأضرار.

❌فلان الصحتو كويسة داك.
✅الصح: الوزن الزائد دليل على عدم الصحة وليس العكس، الزول الوزنو زايد صحتو ما كويسة، تعتبر السُمنة من الأمراض التي قد تتطلب العلاج، وهناك العديد من المضاعفات المرضية المرتبطة بالوزن الزائد كالإصابة بالسكري وارتفاع ضغط الدم وأمراض القلب، والمضاعفات زي (جلطات وسكتات دماغية، فشل كلوي، اعتلال شبكية العين..الخ).

❌الهاتف المحمول وأبراج الاتصالات تسبب سرطان الدماغ.
✅الصح: لا توجد دراسات تدعم هذا الكلام.

❌مزيلات العرق تسبب السرطان.
✅الصح: ليس صحيحًا وفقًا للمصادر العلمية.

❌ما بتجينا عوجة، جدي بسف صعود وبشرب سجاير ليهو 50 سنة ما جاتو حاجة.
✅الصح: لا يجوز علميًا البناء على الحالات الشاذة، الملايين من متعاطي التبغ تعرضوا ويتعرضون لعدد من الأمراض المرتبطة، كأمراض القلب والسرطانات، ومن ثم الوفيات الناجمة عنها.

❌العلاجات العشبية آمنة وما عندها أعراض جانبية.
✅الصح: كثير من الأعشاب درجة مأمونيتها غير معروفة وبعضها خطرة إذا ما تم تناولها مع أمراض معينة أو مع أدوية معينة أو بواسطة فئات عمرية معينة، وهناك أعراض جانبية مرتبطة ببعض الأعشاب أو بجرعاتها غير المضبوطة، يرجى دائمًا استشارة الصيدلي قبل استخدام الأعشاب كعلاج، وهو الخبير الأول في هذا المجال.

❌أديني فلاجيل للإسهال.
✅عدد من الإسهالات سببها التهابات فيروسية أو أدوية أو أمراض معينة أو أغذية كالشطة، لا تُعالج بالمضادات الحيوية كالفلاجيل.
وبعض الاسهالات البكتيرية تتطلب علاجات أخرى غير الفلاجيل.
يجب تشخيص حالتك أولاً ومن ثم تحديد نوع العلاج المناسب.

❌أديني التلات حبات حقت النزلة. 
✅الصح: التلات حبات ما علاج للنزلة. 

❌أديني التلات حبات حقت وجع الحلق. 
✅الصح: الغالبية العظمى من التهابات الحلق فيروسية، لا تُعالج بالمضادات الحيوية. 

❌أديني.. 
✅غلط تمشي الصيدلية تقول ""أديني""، الصح تشكي مشكلتك الصحية وتقول أعراضك وتجاوب على استفسارات الصيدلي، وهو البقرر ليك المناسب، ممكن يديك علاج أو دواء لتخفيف الأعراض وممكن يوجهك للعيادة.. حسب حالتك.

https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8


https://t.me/drugawareness

#منظمة_دعم_المرضى 
#فرعية_دنقلا 
#المكتب_الاجتماعي
#لجنة_الدولاب",drugawareness
"للناس الدخلت جديد 
الادوية التي تم شرحها :- 
١. سامكسون
٢. بروتك او السيفيبيم 
٣. الفلاجيل
٤. البنادول 
٥. أوستيو كير 
٦. ميروبينم
٧. جنتامايسين 
٨. اللازكس 
٩. بانتوبرازول 
١٠. فنتولين
١١. ماكزيل 
١٢. أسبرين 
١٣. اجيال السيفالوسبورين 
١٤. عوائل المضادات الحيوية 
١٥. عائلة البنسلينات 
١٦. الأموكسيسيلين 
١٧. الأموكلان
١٨. الميتفورمين 
١٩. ليفوفلوكساسين 
٢٠. سيبروفلوكساسين 
٢١. الانتي هستامين (حبوب الحساسية)
٢٢. الأوندان استيرون
٢٣. الميتوكلوبرومايد 
٢٤. مضادات التخثر 
٢٥. مضادات الصفيحات
٢٦. مضادات التجلط
٢٧. الهيدروكورتيزون
٢٨. ملح التروية 
٢٩. ميبيندازول
٣٠. اتروبين
٣١. دوبيوتامين
٣٢. دوبامين
٣٣. ادرينالين
٣٤. ليدوكايين
٣٥. نيتروجلسرين
٣٦. دايجوكسين
٣٧. انديرال



الحالات المرضية التم شرحها :- 
١. مرض ابو عديلات
٢. الكوليرا 
٣. الاسهال
٤. الاستفراغ 
٥. الكحة
٦. الفرق بين اعراض الزائده الدودية والحصوات
٧. الفرق بين البواسير والشق الشرجي



مواضيع أخرى تم شرحها :-
١. كيف تكسر انبولة الدواء بي امان ؟
٢. كيف تقرا الروشتة ؟
٣. افضل درب لغيار الجروح ؟
٤. آلام الدورة الشهرية 
٥. لبن الغنم 
٦. هل مريض السكر بيعرف قبل ما يغمى عليه؟
٧. التصرف الصحيح مع لدغة العقرب او عضة الثعبان؟ 
٨. التسمين باستخدام حبوب النجمة 



عشان الكلام ما يكتر وكدا بالنسبة للناس الدخلو جداد ادخلو القناة ✨

قناة التلغرام 
https://t.me/drugawareness

قروب الواتس
https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8",drugawareness
"‏💡 البواسير والشق الشرجي… ما تخجل تتكلم عن صحتك!
‏
‏كتير من الناس بيعانوا في صمت من ألم أو حكة أو نزيف♦️ بسيط… لكن بيستحوا يمشوا الصيدلية أو يسألوا دكتور.
‏والحقيقة إن المشاكل دي شائعة جدًا، وما عندها علاقة بالنظافة أو العمر—ممكن تحصل لأي زول.
‏
‏
‏البواسير والشق الشرجي أمراض شائعة جدًا، وما مرتبطة♦️ بالنظافة أو العادات السيئة فقط.
‏
‏
‏الكشف والعلاج المبكرين بيختصروا فترة الألم وبيسرعوا الشفاء.
‏
‏ما في داعي للخجل… الأطباء والصيادلة بيتعاملوا مع الحالات دي يوميًا.
‏
‏
‏
‏---
‏
‏🔍 أنواع البواسير:
‏
‏1. البواسير الداخلية:
‏
‏تتكون داخل المستقيم
‏
‏غالبًا غير مؤلمة لكن قد تسبب نزيفًا أحمر فاتح
‏
‏إحساس بامتلاء أو كتلة داخلية
‏
‏
‏
‏2. البواسير الخارجية:
‏
‏تظهر تحت الجلد حول فتحة الشرج
‏
‏تسبب ألم شديد وتورم
‏
‏ممكن يصاحبها نزيف أو حكة
‏
‏
‏
‏3. البواسير المتخثرة:
‏
‏تجمّع دموي داخل البواسير الخارجية
‏
‏ألم حاد وتورم مفاجئ
‏
‏
‏
‏4. الشق الشرجي:
‏
‏جرح أو تمزق صغير في بطانة فتحة الشرج
‏
‏يسبب ألم حاد أثناء وبعد التبرز
‏
‏نزيف بسيط وإحساس بجرح
‏
‏
‏
‏
‏
‏---
‏
‏⚠️ أعراض تحتاج تدخل وعلاج:
‏
‏ألم أو حرقان أثناء أو بعد التبرز
‏
‏نزيف أحمر فاتح مع الحمام
‏
‏انتفاخ أو تورم حول فتحة الشرج
‏
‏حكة أو سخونة مزعجة
‏
‏
‏
‏---
‏
‏✅ في خيارات علاجية آمنة ومتوفرة في معظم الصيدليات، منها تركيبات عشبية مدروسة زي Pilenil Cream، اللي بتشتغل على:
‏
‏تهدئة الألم والحكة
‏
‏تقليل الانتفاخ والالتهاب
‏
‏ترميم الأنسجة المتضررة
‏
‏
‏💚 تذكر: صحتك أولى من الحرج، وخطوة صغيرة اليوم ممكن توفر عليك تعب كبير بكرة.
‏

https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8


#التوعية_بالأدوية
#المكتب_الاجتماعي 
#فرعية_دنقلا 
#منظمة_دعم_المرضى",drugawareness
حنتكلم عن البواسير في فقرة صغيرونة كدا🫣,drugawareness
"🟢(الأرتيسينيت) مقدم على (الكينين) في علاج الملاريا الشديدة Severe Malaria🚨

تشير أدلة من تجربة سريرية عشوائية مضبوطة (RCT) إلى أن الأرتيسونات الوريدية تقلل من خطر الوفاة ونقص سكر الدم بدرجة تفوق الكينين لدى المرضى المصابين بالملاريا الشديدة. 
(UK Guidelines) 

كما أوصت منظمة الصحة العالمية باستخدام الأرتيسينيت الوريدي كخيار مفضل لحالات الملاريا الشديدة، استنادًا إلى نتائج دراسات قوية، بما في ذلك تجربة SEAQUAMAT التي أظهرت انخفاضًا واضحًا في معدل الوفيات مقارنةً بالكينين.

وقد ساهمت هذه المعطيات في تغيير جذري بالممارسات العلاجية، حيث تراجع الاعتماد على الكينين بعد أن ظل لعقود يمثل الخيار العلاجي الأول، رغم أنه يرتبط بتحديات سريرية مثل تقلبات سكر الدم وأعراضه الجانبية المرهقة للمريض. 

ومن الجدير بالذكر أن الكينين كان يُستخدم تقليديًا كخيار أول لعلاج الملاريا أثناء الحمل، إلا أن الأدلة الحديثة أظهرت أن الأرتيسينيت أكثر أمانًا واستقرارًا لدى الحوامل، مما عزز مكانته وأزاح الكينين ليصبح الأرتيسينيت هو الخيار العلاجي الأول في الحمل.
 

🔺Ref:

WHO Guidelines for malaria, 2023 – sectio",drugawareness
الإسعافات الأولية للدغة العقرب✨,drugawareness
"للناس الدخلت جديد 
الادوية التي تم شرحها :- 
١. سامكسون
٢. بروتك او السيفيبيم 
٣. الفلاجيل
٤. البنادول 
٥. أوستيو كير 
٦. ميروبينم
٧. جنتامايسين 
٨. اللازكس 
٩. بانتوبرازول 
١٠. فنتولين
١١. ماكزيل 
١٢. أسبرين 
١٣. اجيال السيفالوسبورين 
١٤. عوائل المضادات الحيوية 
١٥. عائلة البنسلينات 
١٦. الأموكسيسيلين 
١٧. الأموكلان
١٨. الميتفورمين 
١٩. ليفوفلوكساسين 
٢٠. سيبروفلوكساسين 
٢١. الانتي هستامين (حبوب الحساسية)
٢٢. الأوندان استيرون
٢٣. الميتوكلوبرومايد 
٢٤. مضادات التخثر 
٢٥. مضادات الصفيحات
٢٦. مضادات التجلط
٢٧. الهيدروكورتيزون
٢٨. ملح التروية 
٢٩. ميبيندازول
٣٠. اتروبين
٣١. دوبيوتامين
٣٢. دوبامين
٣٣. ادرينالين
٣٤. ليدوكايين
٣٥. نيتروجلسرين
٣٦. دايجوكسين
٣٧. انديرال



الحالات المرضية التم شرحها :- 
١. مرض ابو عديلات
٢. الكوليرا 
٣. الاسهال
٤. الاستفراغ 
٥. الكحة


مواضيع أخرى تم شرحها :-
١. كيف تكسر انبولة الدواء بي امان ؟
٢. كيف تقرا الروشتة ؟
٣. افضل درب لغيار الجروح ؟
٤. آلام الدورة الشهرية 
٥. لبن الغنم 
٦. هل مريض السكر بيعرف قبل ما يغمى عليه؟
٧. التصرف الصحيح مع لدغة العقرب او عضة الثعبان؟ 
٨. التسمين باستخدام حبوب النجمة 


عشان الكلام ما يكتر وكدا بالنسبة للناس الدخلو جداد ادخلو القناة ✨

قناة التلغرام 
https://t.me/drugawareness

قروب الواتس
https://chat.whatsapp.com/Glunz8IK8dR3qn0Rt9M7l8",drugawareness
"ازيكم...😔😔😔

انا محاسن...🤗🤗🤗

كنت عايشة حياتي عادي...زي كل بنت..🤗🤗🤗

لوني اخدراني..او زي ما بقولو لي صحباتي..الكمونة خدرة الليمونة... او زيتونة... كانو..بنادوني كده..وبيعززو ثقتي في نفسي ومبسوطة ب اختلافي...👌🏿👌🏿👌🏿💃🏿💃🏿💃🏿

جات فترة المراهقة...ووشي حرفيا ضرب... شي حبوب بي جاي وشي حبوب بي جاي..وشي مسامات فاتحة وغيرو...

لاقيت واحدة صحبتي قالت لي....اديكي كريم يفتح ليكي لونك..اسمو كلنا عرب...وبديك كريم تاني اسمو صفيك بالحليب تضيفي ليهو صفيك بالليمون..وصابونة ناوية... وان شاء الله...كلو يظبط...🙊🙊🙊🙊🙊

مشيت لاقرب بوتيك جمبنا...اسمو البمبلاوي...قلت ليهو ازيك ...اديني الخلتة دي..🙊🙊🙊🙊

شال من كل واحد ملعقة...واداني ليهم... وجيت مسحتهم...

برضو حضرت حلقة لي واحد في يوتيوب... عندو كريمات كده بخلطن ..حببني في الطريقة اللي بيعرض بيها المنتجات دي..طوالي مشيت جلطت وشي...

وشي لونو فتح...وبقى كويس..بس باقي جسمي..كموني وزيتوني... ف بقيت بخجل...كيف الوش فاتح وباقي الجسم ماياهو... ف مشيت لي صحبتي ادتني خلتة...فيها صباع دكتور جيمس..وصابونة كنزة... ..وصباع اورانج...وقالت لي لازم البس شرابات..ولازم الباس نقاب واغطي وشي..🥺🥺

ف سمعت كلامها وبديت ادعك..وواصلت...🥺🥺🥺

بعد فترة اللون بقى فاتح...وفيهو شوية بقع سوداء..بس كل يوم بدعكها..وماشي يفتح..وبقيت رهيبة..

مشينا عندنا لمة مع فلانة وفلانة... قعدنا اتونسنا..ولعبنا ليدو... وتاني لعبنا لعبة الصراحة...وفتحنا باب...السؤال عن الوزن...🥺🥺🥺

انا وزني هزيل جدا..طبعا ما اقول ليكم...وصحباتي بقولو لي ي صبجة...ي حتة...والخ...ومتعقدة من الموضوع ده...🥺🥺🥺

ففي واحدة من صحباتي كانت انحف مني.. سألتها بتعملي شنو... قالت لي برسلن ليكي في الواططسس..تمشي تجيبيهن من بوتيك البمبلاوي... خلطات وحبوب...ولبوسات شرجية..

مشيت ليهو اداني الزنك طار..وابنجمة..والجيران اتخلعو..وبليلة..واداني خلطة كده بتاعت كاكاو...قال لي دي فيها كاكاو بيخليني سمينة...🤗🤗🤗

ولقيت في قروب جربتو ونفع معاي..تاجرة قالت عندها لبوسات بلبسوها في فتحة الشرج..سمحة..بتخلي الخصر كبير....🤗🤗🤗

بديت ابلع..وابلع..وابلع حسب نصايح بتاع البوتيك..وحسب نصايح التاجرة باخد اللبوسات...

وزني زاد..وتحت بقيت كبيرة وشايلة حاجات...وفي نفس الوقت..مواصلة في الجلخة..وبقيت اتفنن..مرة اضيف ليها كحول...عرقي..ومرررة درب ملح..ومرررة ملح عديل...حسب الكلام البلقاهو...وبمسح..🥺🥺🥺

بمسح وببلع...🙊🙊🙊🙊

حسيت روحي رهيبة او حرفيا بقيت رهيبة قدام المرايا...وزني بقى مربرب...ولوني بقى ما كموني بقى اصفااااااااااااااار...وكلام الناس حواليني قل...وبقيت واثقة...

قمت وقفت فجاة..لقيت اللون بقى يعمل بقع سوداء...ولما وقفت الحبوب لقيت الوزن ماشي ينزل ف رجعت اواصل...

الامور ماشه تمام..بس لازم اواصل وما اوقف..عشان الناس ما برحموني...🥺🥺🥺

واصلت في الموال ده سنة...وتعالو شوفو الحصل..

جلدي بقى رهييييييف...ونااااشششقف..وعروقي ظهرن....وبدت تجيني حالة بتاعت اغماء كل فترة والتانية...وحبس بول🥺🥺🥺🥺

مشينا الدكتور فحصنا الملاريا ماف...فحصنا حاجات تانية ماف... فحصنا السكري....لقينا التراكمي زايد...

الدكتور قال لي اهلي البت دي عندها سكري...وفشل كلوي في بداياتو...🥺🥺

البت دي بتعمل شنووو..

ف رجعت ب الذاكرة لي ورا...اتذكرت زمن كنت لوني زيتوني..ووزني عادي وجسمي قادر يشيل وزني ده قبل اسمع كلام صحباتي..ف حكيت ليهو القصة...🥺🥺

وقلت ليهو خلاص بوقفن...😔😔😔😔

قال لي لأ اولا لازم تجيبي الحاجات اابتستخدميها دي لانو ما بتتوقف ساي...دي اسمها استيرويدات...يعني علاجات ما بتتوقف ساي... لازم تتوقف بالتدريج..عشان جسمك يرجع يستجيب....لو وقفتيها رررب ررب كده بيحصل ليكي موت حرفيا...👋🏿👋🏿👋🏿👋🏿👋🏿👋🏿

سمعت كلامو وجبت ليهو كل شي بستخدمو من كريم لي حبوب ...ونسيت اقول ليكم...جاتني عدوى في المستقيم..الدكتور قال لي شوية كده وكان تدخلي في موضوع سرطان حماك الله...👋🏿👋🏿👋🏿👋🏿

اتذكرت الحاجات الكنت بدخلها في فتحة الشرج عشان وزني يزيد من تحت...لما بكيت..

بكيت ع حالتي ولوني الكنت بحبو قبل اسمع كلام الناس...

لوني الزيتوني الكموني..ووزني العود الفرنسي...ولما يزيد بزيد في حدودو المعقول...👌🏿👌🏿👌🏿👌🏿

وسمعت كلام ناس فلانة وفلانة في جربتو ونفع معاي ما سمعت نصايح الدكاترة... وحاليا بكتب ليكم قصتي دي في الحاصل بي والحاصل بيك....🥺🥺🥺🥺

ف اياكم تبلعو ساي او تمسحو ساي ما لم تستشيرو...


#التوعية_بالأدوية
#المكتب_الاجتماعي 
#فرعية_دنقلا 
#منظمة_دعم_المرضى",drugawareness
"دي محاسن بطلت القصة حقتنا 💞
 
محاسن سمعت البنات بجربن في حبوب وقامت اتشالقت ومشت جابتهن وبقت تبلع من طرف ساي لمن امورها جاطت
الحبوب دي شنو والحصل ليها شنو تعالو نشوف 💞",drugawareness
